price      , date          , volume
MYR RM2.20 , "Jul 8, 2022" , 27M
MYR RM2.20 , "Jul 8, 2022" , 27M
MYR RM2.31 , "Jul 15, 2022", 10M
MYR RM2.31 , "Jul 15, 2022", 10M
MYR RM2.31 , "Jul 15, 2022", 10M
MYR RM2.52 , "Jul 22, 2022", 18M
MYR RM2.52 , "Jul 22, 2022", 18M
MYR RM2.88 , "Jul 29, 2022", 22M
MYR RM2.88 , "Jul 29, 2022", 22M
MYR RM2.80 , "Aug 5, 2022" , 22M
MYR RM2.80 , "Aug 5, 2022" , 22M
MYR RM2.80 , "Aug 5, 2022" , 22M
MYR RM2.90 , "Aug 12, 2022", 16M
MYR RM2.90 , "Aug 12, 2022", 16M
MYR RM2.86 , "Aug 19, 2022", 9.8M
MYR RM2.86 , "Aug 19, 2022", 9.8M
MYR RM2.90 , "Aug 26, 2022", 13M
MYR RM2.90 , "Aug 26, 2022", 13M
MYR RM2.90 , "Aug 26, 2022", 13M
MYR RM2.68 , "Sep 2, 2022" , 8.3M
MYR RM2.68 , "Sep 2, 2022" , 8.3M
MYR RM2.72 , "Sep 9, 2022" , 5.1M
MYR RM2.72 , "Sep 9, 2022" , 5.1M
MYR RM2.73 , "Sep 15, 2022", 10M
MYR RM2.73 , "Sep 15, 2022", 10M
MYR RM2.73 , "Sep 15, 2022", 10M
MYR RM2.73 , "Sep 23, 2022", 4.4M
MYR RM2.73 , "Sep 23, 2022", 4.4M
MYR RM2.75 , "Sep 30, 2022", 20M
MYR RM2.75 , "Sep 30, 2022", 20M
MYR RM2.70 , "Oct 7, 2022" , 6.1M
MYR RM2.70 , "Oct 7, 2022" , 6.1M
MYR RM2.70 , "Oct 7, 2022" , 6.1M
MYR RM2.47 , "Oct 14, 2022", 22M
MYR RM2.47 , "Oct 14, 2022", 22M
MYR RM2.48 , "Oct 21, 2022", 5.7M
MYR RM2.48 , "Oct 21, 2022", 5.7M
MYR RM2.48 , "Oct 21, 2022", 5.7M
MYR RM2.48 , "Oct 28, 2022", 2.7M
MYR RM2.48 , "Oct 28, 2022", 2.7M
MYR RM2.51 , "Nov 4, 2022" , 10M
MYR RM2.51 , "Nov 4, 2022" , 10M
MYR RM2.70 , "Nov 11, 2022", 9.5M
MYR RM2.70 , "Nov 11, 2022", 9.5M
MYR RM2.70 , "Nov 11, 2022", 9.5M
MYR RM2.76 , "Nov 17, 2022", 9.1M
MYR RM2.76 , "Nov 17, 2022", 9.1M
MYR RM3.03 , "Nov 25, 2022", 14M
MYR RM3.03 , "Nov 25, 2022", 14M
MYR RM3.34 , "Dec 2, 2022" , 20M
MYR RM3.34 , "Dec 2, 2022" , 20M
MYR RM3.34 , "Dec 2, 2022" , 20M
MYR RM3.25 , "Dec 9, 2022" , 10M
MYR RM3.25 , "Dec 9, 2022" , 10M
MYR RM3.32 , "Dec 16, 2022", 9M
MYR RM3.32 , "Dec 16, 2022", 9M
MYR RM3.10 , "Dec 23, 2022", 9.2M
MYR RM3.10 , "Dec 23, 2022", 9.2M
MYR RM3.10 , "Dec 23, 2022", 9.2M
MYR RM3.08 , "Dec 30, 2022", 4.1M
MYR RM3.08 , "Dec 30, 2022", 4.1M
MYR RM3.00 , "Jan 6, 2023" , 5.9M
MYR RM3.00 , "Jan 6, 2023" , 5.9M
MYR RM3.24 , "Jan 13, 2023", 22M
MYR RM3.24 , "Jan 13, 2023", 22M
MYR RM3.24 , "Jan 13, 2023", 22M
MYR RM3.30 , "Jan 20, 2023", 14M
MYR RM3.30 , "Jan 20, 2023", 14M
MYR RM3.25 , "Jan 27, 2023", 11M
MYR RM3.25 , "Jan 27, 2023", 11M
MYR RM3.30 , "Feb 3, 2023" , 14M
MYR RM3.30 , "Feb 3, 2023" , 14M
MYR RM3.30 , "Feb 3, 2023" , 14M
MYR RM3.19 , "Feb 10, 2023", 13M
MYR RM3.19 , "Feb 10, 2023", 13M
MYR RM3.11 , "Feb 17, 2023", 11M
MYR RM3.11 , "Feb 17, 2023", 11M
MYR RM3.11 , "Feb 24, 2023", 17M
MYR RM3.11 , "Feb 24, 2023", 17M
MYR RM3.11 , "Feb 24, 2023", 17M
MYR RM3.10 , "Mar 3, 2023" , 7.8M
MYR RM3.10 , "Mar 3, 2023" , 7.8M
MYR RM3.05 , "Mar 10, 2023", 5.1M
MYR RM3.05 , "Mar 10, 2023", 5.1M
MYR RM3.02 , "Mar 17, 2023", 5.3M
MYR RM3.02 , "Mar 17, 2023", 5.3M
MYR RM3.02 , "Mar 17, 2023", 5.3M
MYR RM3.07 , "Mar 24, 2023", 4.9M
MYR RM3.07 , "Mar 24, 2023", 4.9M
MYR RM3.12 , "Mar 31, 2023", 7.4M
MYR RM3.12 , "Mar 31, 2023", 7.4M
MYR RM3.17 , "Apr 7, 2023" , 8.2M
MYR RM3.17 , "Apr 7, 2023" , 8.2M
MYR RM3.17 , "Apr 7, 2023" , 8.2M
MYR RM3.18 , "Apr 14, 2023", 5.9M
MYR RM3.18 , "Apr 14, 2023", 5.9M
MYR RM3.11 , "Apr 20, 2023", 3.6M
MYR RM3.11 , "Apr 20, 2023", 3.6M
MYR RM3.04 , "Apr 28, 2023", 5.2M
MYR RM3.04 , "Apr 28, 2023", 5.2M
MYR RM3.04 , "Apr 28, 2023", 5.2M
MYR RM2.97 , "May 5, 2023" , 9.3M
MYR RM2.97 , "May 5, 2023" , 9.3M
MYR RM2.83 , "May 12, 2023", 19M
MYR RM2.83 , "May 12, 2023", 19M
MYR RM2.83 , "May 12, 2023", 19M
MYR RM2.88 , "May 19, 2023", 6.9M
MYR RM2.88 , "May 19, 2023", 6.9M
MYR RM3.07 , "May 26, 2023", 17M
MYR RM3.07 , "May 26, 2023", 17M
MYR RM3.11 , "Jun 2, 2023" , 13M
MYR RM3.11 , "Jun 2, 2023" , 13M
MYR RM3.11 , "Jun 2, 2023" , 13M
MYR RM3.17 , "Jun 9, 2023" , 4.6M
MYR RM3.17 , "Jun 9, 2023" , 4.6M
MYR RM3.13 , "Jun 16, 2023", 16M
MYR RM3.13 , "Jun 16, 2023", 16M
MYR RM3.12 , "Jun 23, 2023", 5M
MYR RM3.12 , "Jun 23, 2023", 5M
MYR RM3.12 , "Jun 23, 2023", 5M
MYR RM3.15 , "Jun 30, 2023", 2.7M
MYR RM3.15 , "Jun 30, 2023", 2.7M
MYR RM3.15 , "Jul 7, 2023" , 10M
MYR RM3.15 , "Jul 7, 2023" , 10M
MYR RM3.52 , "Jul 14, 2023", 14M
MYR RM3.52 , "Jul 14, 2023", 14M
MYR RM3.52 , "Jul 14, 2023", 14M
MYR RM3.28 , "Jul 21, 2023", 13M
MYR RM3.28 , "Jul 21, 2023", 13M
MYR RM3.31 , "Jul 28, 2023", 11M
MYR RM3.31 , "Jul 28, 2023", 11M
MYR RM3.39 , "Aug 4, 2023" , 14M
MYR RM3.39 , "Aug 4, 2023" , 14M
MYR RM3.39 , "Aug 4, 2023" , 14M
MYR RM3.42 , "Aug 11, 2023", 12M
MYR RM3.42 , "Aug 11, 2023", 12M
MYR RM3.39 , "Aug 18, 2023", 16M
MYR RM3.39 , "Aug 18, 2023", 16M
MYR RM3.37 , "Aug 25, 2023", 14M
MYR RM3.37 , "Aug 25, 2023", 14M
MYR RM3.37 , "Aug 25, 2023", 14M
MYR RM3.45 , "Sep 1, 2023" , 12M
MYR RM3.45 , "Sep 1, 2023" , 12M
MYR RM3.19 , "Sep 8, 2023" , 6M
MYR RM3.19 , "Sep 8, 2023" , 6M
MYR RM3.28 , "Sep 15, 2023", 16M
MYR RM3.28 , "Sep 15, 2023", 16M
MYR RM3.28 , "Sep 15, 2023", 16M
MYR RM3.19 , "Sep 22, 2023", 14M
MYR RM3.19 , "Sep 22, 2023", 14M
MYR RM3.15 , "Sep 29, 2023", 13M
MYR RM3.15 , "Sep 29, 2023", 13M
MYR RM3.14 , "Oct 6, 2023" , 13M
MYR RM3.14 , "Oct 6, 2023" , 13M
MYR RM3.14 , "Oct 6, 2023" , 13M
MYR RM3.16 , "Oct 13, 2023", 7.6M
MYR RM3.16 , "Oct 13, 2023", 7.6M
MYR RM3.26 , "Oct 20, 2023", 15M
MYR RM3.26 , "Oct 20, 2023", 15M
MYR RM3.21 , "Oct 27, 2023", 12M
MYR RM3.21 , "Oct 27, 2023", 12M
MYR RM3.21 , "Oct 27, 2023", 12M
MYR RM3.16 , "Nov 3, 2023" , 13M
MYR RM3.16 , "Nov 3, 2023" , 13M
MYR RM3.20 , "Nov 10, 2023", 24M
MYR RM3.20 , "Nov 10, 2023", 24M
MYR RM3.21 , "Nov 17, 2023", 21M
MYR RM3.21 , "Nov 17, 2023", 21M
MYR RM3.21 , "Nov 17, 2023", 21M
MYR RM3.29 , "Nov 24, 2023", 21M
MYR RM3.29 , "Nov 24, 2023", 21M
MYR RM3.18 , "Dec 1, 2023" , 11M
MYR RM3.18 , "Dec 1, 2023" , 11M
MYR RM3.18 , "Dec 1, 2023" , 11M
MYR RM3.10 , "Dec 8, 2023" , 22M
MYR RM3.10 , "Dec 8, 2023" , 22M
MYR RM3.10 , "Dec 15, 2023", 19M
MYR RM3.10 , "Dec 15, 2023", 19M
MYR RM3.20 , "Dec 22, 2023", 30M
MYR RM3.20 , "Dec 22, 2023", 30M
MYR RM3.20 , "Dec 22, 2023", 30M
MYR RM3.24 , "Dec 29, 2023", 72M
MYR RM3.24 , "Dec 29, 2023", 72M
MYR RM3.20 , "Jan 5, 2024" , 15M
MYR RM3.20 , "Jan 5, 2024" , 15M
MYR RM3.53 , "Jan 12, 2024", 39M
MYR RM3.53 , "Jan 12, 2024", 39M
MYR RM3.53 , "Jan 12, 2024", 39M
MYR RM3.53 , "Jan 19, 2024", 29M
MYR RM3.53 , "Jan 19, 2024", 29M
MYR RM3.54 , "Jan 26, 2024", 15M
MYR RM3.54 , "Jan 26, 2024", 15M
MYR RM3.46 , "Feb 2, 2024" , 14M
MYR RM3.46 , "Feb 2, 2024" , 14M
MYR RM3.46 , "Feb 2, 2024" , 14M
MYR RM3.49 , "Feb 16, 2024", 15M
MYR RM3.49 , "Feb 16, 2024", 15M
MYR RM3.71 , "Feb 23, 2024", 48M
MYR RM3.71 , "Feb 23, 2024", 48M
MYR RM3.65 , "Mar 1, 2024" , 29M
MYR RM3.65 , "Mar 1, 2024" , 29M
MYR RM3.65 , "Mar 1, 2024" , 29M
MYR RM3.69 , "Mar 8, 2024" , 28M
MYR RM3.69 , "Mar 8, 2024" , 28M
MYR RM3.68 , "Mar 15, 2024", 23M
MYR RM3.68 , "Mar 15, 2024", 23M
MYR RM3.84 , "Mar 22, 2024", 22M
MYR RM3.84 , "Mar 22, 2024", 22M
MYR RM3.84 , "Mar 22, 2024", 22M
MYR RM3.88 , "Mar 29, 2024", 18M
MYR RM3.88 , "Mar 29, 2024", 18M
MYR RM3.84 , "Apr 5, 2024" , 16M
MYR RM3.84 , "Apr 5, 2024" , 16M
MYR RM3.98 , "Apr 12, 2024", 7.1M
MYR RM3.98 , "Apr 12, 2024", 7.1M
MYR RM3.98 , "Apr 12, 2024", 7.1M
MYR RM3.82 , "Apr 19, 2024", 31M
MYR RM3.82 , "Apr 19, 2024", 31M
MYR RM3.89 , "Apr 26, 2024", 22M
MYR RM3.89 , "Apr 26, 2024", 22M
MYR RM3.93 , "May 3, 2024" , 14M
MYR RM3.93 , "May 3, 2024" , 14M
MYR RM3.93 , "May 3, 2024" , 14M
MYR RM4.17 , "May 10, 2024", 25M
MYR RM4.17 , "May 10, 2024", 25M
MYR RM4.44 , "May 17, 2024", 18M
MYR RM4.44 , "May 17, 2024", 18M
MYR RM4.44 , "May 24, 2024", 18M
MYR RM4.44 , "May 24, 2024", 18M
MYR RM4.44 , "May 24, 2024", 18M
MYR RM4.25 , "May 31, 2024", 22M
MYR RM4.25 , "May 31, 2024", 22M
MYR RM4.38 , "Jun 7, 2024" , 14M
MYR RM4.38 , "Jun 7, 2024" , 14M
MYR RM4.48 , "Jun 14, 2024", 29M
MYR RM4.48 , "Jun 14, 2024", 29M
MYR RM4.48 , "Jun 14, 2024", 29M
MYR RM4.61 , "Jun 21, 2024", 21M
MYR RM4.61 , "Jun 21, 2024", 21M
MYR RM4.46 , "Jun 28, 2024", 20M
MYR RM4.46 , "Jun 28, 2024", 20M
MYR RM4.46 , "Jun 28, 2024", 20M
MYR RM4.58 , "Jul 5, 2024" , 17M
MYR RM4.58 , "Jul 5, 2024" , 17M
MYR RM4.59 , "Jul 12, 2024", 17M
MYR RM4.59 , "Jul 12, 2024", 17M
MYR RM4.33 , "Jul 19, 2024", 19M
MYR RM4.33 , "Jul 19, 2024", 19M
MYR RM4.33 , "Jul 19, 2024", 19M
MYR RM4.24 , "Jul 26, 2024", 18M
MYR RM4.24 , "Jul 26, 2024", 18M
MYR RM4.09 , "Aug 2, 2024" , 16M
MYR RM4.09 , "Aug 2, 2024" , 16M
MYR RM4.20 , "Aug 9, 2024" , 34M
MYR RM4.20 , "Aug 9, 2024" , 34M
MYR RM4.20 , "Aug 9, 2024" , 34M
MYR RM3.94 , "Aug 16, 2024", 30M
MYR RM3.94 , "Aug 16, 2024", 30M
MYR RM3.74 , "Aug 23, 2024", 35M
MYR RM3.74 , "Aug 23, 2024", 35M
MYR RM3.60 , "Aug 30, 2024", 49M
MYR RM3.60 , "Aug 30, 2024", 49M
MYR RM3.60 , "Aug 30, 2024", 49M
MYR RM3.59 , "Sep 6, 2024" , 24M
MYR RM3.59 , "Sep 6, 2024" , 24M
MYR RM3.80 , "Sep 13, 2024", 14M
MYR RM3.80 , "Sep 13, 2024", 14M
MYR RM4.02 , "Sep 20, 2024", 6.8M
MYR RM4.02 , "Sep 20, 2024", 6.8M
MYR RM4.02 , "Sep 20, 2024", 6.8M
MYR RM3.52 , "Sep 27, 2024", 17M
MYR RM3.52 , "Sep 27, 2024", 17M
MYR RM3.53 , "Oct 4, 2024" , 13M
MYR RM3.53 , "Oct 4, 2024" , 13M
MYR RM3.70 , "Oct 11, 2024", 9.9M
MYR RM3.70 , "Oct 11, 2024", 9.9M
MYR RM3.70 , "Oct 11, 2024", 9.9M
MYR RM3.89 , "Oct 18, 2024", 12M
MYR RM3.89 , "Oct 18, 2024", 12M
MYR RM3.78 , "Oct 25, 2024", 5.2M
MYR RM3.78 , "Oct 25, 2024", 5.2M
MYR RM3.80 , "Nov 1, 2024" , 6.2M
MYR RM3.80 , "Nov 1, 2024" , 6.2M
MYR RM3.80 , "Nov 1, 2024" , 6.2M
MYR RM4.00 , "Nov 8, 2024" , 17M
MYR RM4.00 , "Nov 8, 2024" , 17M
MYR RM4.06 , "Nov 15, 2024", 6.6M
MYR RM4.06 , "Nov 15, 2024", 6.6M
MYR RM4.11 , "Nov 22, 2024", 7.1M
MYR RM4.11 , "Nov 22, 2024", 7.1M
MYR RM4.11 , "Nov 22, 2024", 7.1M
MYR RM4.00 , "Nov 29, 2024", 14M
MYR RM4.00 , "Nov 29, 2024", 14M
MYR RM4.29 , "Dec 6, 2024" , 13M
MYR RM4.29 , "Dec 6, 2024" , 13M
MYR RM4.24 , "Dec 13, 2024", 8.6M
MYR RM4.24 , "Dec 13, 2024", 8.6M
MYR RM4.24 , "Dec 13, 2024", 8.6M
MYR RM4.50 , "Dec 20, 2024", 18M
MYR RM4.50 , "Dec 20, 2024", 18M
MYR RM4.49 , "Dec 27, 2024", 15M
MYR RM4.49 , "Dec 27, 2024", 15M
MYR RM4.35 , "Jan 3, 2025" , 11M
MYR RM4.35 , "Jan 3, 2025" , 11M
MYR RM4.35 , "Jan 3, 2025" , 11M
MYR RM4.15 , "Jan 10, 2025", 20M
MYR RM4.15 , "Jan 10, 2025", 20M
MYR RM4.20 , "Jan 17, 2025", 14M
MYR RM4.20 , "Jan 17, 2025", 14M
MYR RM4.20 , "Jan 17, 2025", 14M
MYR RM4.06 , "Jan 24, 2025", 11M
MYR RM4.06 , "Jan 24, 2025", 11M
MYR RM3.77 , "Jan 31, 2025", 10M
MYR RM3.77 , "Jan 31, 2025", 10M
MYR RM3.95 , "Feb 7, 2025" , 14M
MYR RM3.95 , "Feb 7, 2025" , 14M
MYR RM3.95 , "Feb 7, 2025" , 14M
MYR RM3.72 , "Feb 14, 2025", 12M
MYR RM3.72 , "Feb 14, 2025", 12M
MYR RM3.85 , "Feb 21, 2025", 18M
MYR RM3.85 , "Feb 21, 2025", 18M
MYR RM3.74 , "Feb 28, 2025", 20M
MYR RM3.74 , "Feb 28, 2025", 20M
MYR RM3.74 , "Feb 28, 2025", 20M
MYR RM3.35 , "Mar 7, 2025" , 24M
MYR RM3.35 , "Mar 7, 2025" , 24M
MYR RM3.56 , "Mar 14, 2025", 21M
MYR RM3.56 , "Mar 14, 2025", 21M
MYR RM3.78 , "Mar 21, 2025", 11M
MYR RM3.78 , "Mar 21, 2025", 11M
MYR RM3.78 , "Mar 21, 2025", 11M
MYR RM3.73 , "Mar 28, 2025", 13M
MYR RM3.73 , "Mar 28, 2025", 13M
MYR RM3.30 , "Apr 4, 2025" , 14M
MYR RM3.30 , "Apr 4, 2025" , 14M
MYR RM3.10 , "Apr 11, 2025", 54M
MYR RM3.10 , "Apr 11, 2025", 54M
MYR RM3.10 , "Apr 11, 2025", 54M
MYR RM3.25 , "Apr 18, 2025", 54M
MYR RM3.25 , "Apr 18, 2025", 54M
MYR RM3.25 , "Apr 18, 2025", 54M
MYR RM3.25 , "Apr 18, 2025", 54M
MYR RM3.25 , "Apr 18, 2025", 54M
MYR RM3.25 , "Apr 18, 2025", 54M
MYR RM3.25 , "Apr 18, 2025", 54M
MYR RM3.25 , "Apr 18, 2025", 54M
MYR RM3.25 , "Apr 18, 2025", 54M
MYR RM3.25 , "Apr 18, 2025", 54M
MYR RM3.25 , "Apr 18, 2025", 54M
MYR RM3.25 , "Apr 18, 2025", 54M
MYR RM3.25 , "Apr 18, 2025", 54M
MYR RM3.25 , "Apr 18, 2025", 54M
MYR RM3.25 , "Apr 18, 2025", 54M
MYR RM3.25 , "Apr 18, 2025", 54M
MYR RM3.25 , "Apr 18, 2025", 54M
MYR RM3.25 , "Apr 18, 2025", 54M
MYR RM3.25 , "Apr 18, 2025", 54M
MYR RM3.25 , "Apr 18, 2025", 54M
MYR RM3.25 , "Apr 18, 2025", 54M
MYR RM3.25 , "Apr 18, 2025", 54M
MYR RM0.065, "Apr 18, 2025", 
MYR RM0.065, "Apr 18, 2025", 
MYR RM0.065, "Apr 18, 2025", 
MYR RM0.065, "Apr 18, 2025", 
MYR RM0.065, "Apr 18, 2025", 
MYR RM0.065, "Apr 18, 2025", 
MYR RM0.065, "Apr 18, 2025", 
MYR RM0.065, "Apr 18, 2025", 
MYR RM0.065, "Apr 18, 2025", 
MYR RM0.065, "Apr 18, 2025", 
MYR RM0.065, "Apr 18, 2025", 
MYR RM0.065, "Apr 18, 2025", 
MYR RM0.065, "Apr 18, 2025", 
MYR RM0.065, "Apr 18, 2025", 
MYR RM0.065, "Apr 18, 2025", 
MYR RM0.065, "Apr 18, 2025", 
MYR RM0.065, "Apr 18, 2025", 
MYR RM0.065, "Apr 18, 2025", 
MYR RM0.065, "Apr 18, 2025", 
MYR RM0.065, "Apr 18, 2025", 
MYR RM0.065, "Apr 18, 2025", 
MYR RM0.065, "Apr 18, 2025", 
MYR RM0.20 , "Apr 17, 2020", 24M
MYR RM0.20 , "Apr 17, 2020", 24M
MYR RM0.20 , "Apr 17, 2020", 24M
MYR RM0.25 , "Apr 30, 2020", 47M
MYR RM0.25 , "Apr 30, 2020", 47M
MYR RM0.25 , "May 8, 2020" , 49M
MYR RM0.25 , "May 8, 2020" , 49M
MYR RM0.25 , "May 8, 2020" , 49M
MYR RM0.25 , "May 15, 2020", 23M
MYR RM0.25 , "May 15, 2020", 23M
MYR RM0.20 , "May 22, 2020", 13M
MYR RM0.20 , "May 22, 2020", 13M
MYR RM0.25 , "May 29, 2020", 6.3M
MYR RM0.25 , "May 29, 2020", 6.3M
MYR RM0.25 , "May 29, 2020", 6.3M
MYR RM0.30 , "Jun 5, 2020" , 13M
MYR RM0.30 , "Jun 5, 2020" , 13M
MYR RM0.30 , "Jun 12, 2020", 22M
MYR RM0.30 , "Jun 12, 2020", 22M
MYR RM0.50 , "Jun 19, 2020", 413M
MYR RM0.50 , "Jun 19, 2020", 413M
MYR RM0.50 , "Jun 19, 2020", 413M
MYR RM0.45 , "Jun 26, 2020", 959M
MYR RM0.45 , "Jun 26, 2020", 959M
MYR RM0.55 , "Jul 3, 2020" , 366M
MYR RM0.55 , "Jul 3, 2020" , 366M
MYR RM0.80 , "Jul 10, 2020", 991M
MYR RM0.80 , "Jul 10, 2020", 991M
MYR RM0.80 , "Jul 10, 2020", 991M
MYR RM1.10 , "Jul 17, 2020", 1.1B
MYR RM1.10 , "Jul 17, 2020", 1.1B
MYR RM0.95 , "Jul 24, 2020", 344M
MYR RM0.95 , "Jul 24, 2020", 344M
MYR RM1.20 , "Jul 30, 2020", 606M
MYR RM1.20 , "Jul 30, 2020", 606M
MYR RM1.20 , "Jul 30, 2020", 606M
MYR RM2.20 , "Aug 7, 2020" , 1.5B
MYR RM2.20 , "Aug 7, 2020" , 1.5B
MYR RM1.25 , "Aug 14, 2020", 746M
MYR RM1.25 , "Aug 14, 2020", 746M
MYR RM1.25 , "Aug 14, 2020", 746M
MYR RM1.65 , "Aug 21, 2020", 402M
MYR RM1.65 , "Aug 21, 2020", 402M
MYR RM1.70 , "Aug 28, 2020", 365M
MYR RM1.70 , "Aug 28, 2020", 365M
MYR RM1.90 , "Sep 4, 2020" , 1.1B
MYR RM1.90 , "Sep 4, 2020" , 1.1B
MYR RM1.90 , "Sep 4, 2020" , 1.1B
MYR RM1.60 , "Sep 11, 2020", 362M
MYR RM1.60 , "Sep 11, 2020", 362M
MYR RM1.50 , "Sep 18, 2020", 99M
MYR RM1.50 , "Sep 18, 2020", 99M
MYR RM1.35 , "Sep 25, 2020", 116M
MYR RM1.35 , "Sep 25, 2020", 116M
MYR RM1.35 , "Sep 25, 2020", 116M
MYR RM1.15 , "Oct 2, 2020" , 104M
MYR RM1.15 , "Oct 2, 2020" , 104M
MYR RM1.35 , "Oct 9, 2020" , 145M
MYR RM1.35 , "Oct 9, 2020" , 145M
MYR RM1.40 , "Oct 16, 2020", 140M
MYR RM1.40 , "Oct 16, 2020", 140M
MYR RM1.40 , "Oct 16, 2020", 140M
MYR RM1.20 , "Oct 23, 2020", 162M
MYR RM1.20 , "Oct 23, 2020", 162M
MYR RM1.20 , "Oct 30, 2020", 50M
MYR RM1.20 , "Oct 30, 2020", 50M
MYR RM1.25 , "Nov 6, 2020" , 74M
MYR RM1.25 , "Nov 6, 2020" , 74M
MYR RM1.25 , "Nov 6, 2020" , 74M
MYR RM1.45 , "Nov 13, 2020", 213M
MYR RM1.45 , "Nov 13, 2020", 213M
MYR RM1.40 , "Nov 20, 2020", 119M
MYR RM1.40 , "Nov 20, 2020", 119M
MYR RM1.35 , "Nov 27, 2020", 58M
MYR RM1.35 , "Nov 27, 2020", 58M
MYR RM1.35 , "Nov 27, 2020", 58M
MYR RM1.35 , "Dec 4, 2020" , 43M
MYR RM1.35 , "Dec 4, 2020" , 43M
MYR RM1.55 , "Dec 11, 2020", 334M
MYR RM1.55 , "Dec 11, 2020", 334M
MYR RM1.40 , "Dec 18, 2020", 128M
MYR RM1.40 , "Dec 18, 2020", 128M
MYR RM1.40 , "Dec 18, 2020", 128M
MYR RM1.35 , "Dec 24, 2020", 53M
MYR RM1.35 , "Dec 24, 2020", 53M
MYR RM1.35 , "Dec 31, 2020", 59M
MYR RM1.35 , "Dec 31, 2020", 59M
MYR RM1.25 , "Jan 8, 2021" , 100M
MYR RM1.25 , "Jan 8, 2021" , 100M
MYR RM1.25 , "Jan 8, 2021" , 100M
MYR RM1.20 , "Jan 15, 2021", 75M
MYR RM1.20 , "Jan 15, 2021", 75M
MYR RM1.25 , "Jan 22, 2021", 35M
MYR RM1.25 , "Jan 22, 2021", 35M
MYR RM1.15 , "Jan 29, 2021", 23M
MYR RM1.15 , "Jan 29, 2021", 23M
MYR RM1.15 , "Jan 29, 2021", 23M
MYR RM1.10 , "Feb 5, 2021" , 35M
MYR RM1.10 , "Feb 5, 2021" , 35M
MYR RM1.00 , "Feb 11, 2021", 46M
MYR RM1.00 , "Feb 11, 2021", 46M
MYR RM1.20 , "Feb 19, 2021", 110M
MYR RM1.20 , "Feb 19, 2021", 110M
MYR RM1.20 , "Feb 19, 2021", 110M
MYR RM1.25 , "Feb 26, 2021", 153M
MYR RM1.25 , "Feb 26, 2021", 153M
MYR RM1.35 , "Mar 5, 2021" , 140M
MYR RM1.35 , "Mar 5, 2021" , 140M
MYR RM1.35 , "Mar 5, 2021" , 140M
MYR RM1.15 , "Mar 12, 2021", 73M
MYR RM1.15 , "Mar 12, 2021", 73M
MYR RM1.00 , "Mar 26, 2021", 38M
MYR RM1.00 , "Mar 26, 2021", 38M
MYR RM0.95 , "Apr 2, 2021" , 49M
MYR RM0.95 , "Apr 2, 2021" , 49M
MYR RM0.95 , "Apr 2, 2021" , 49M
MYR RM0.95 , "Apr 9, 2021" , 19M
MYR RM0.95 , "Apr 9, 2021" , 19M
MYR RM0.95 , "Apr 16, 2021", 26M
MYR RM0.95 , "Apr 16, 2021", 26M
MYR RM0.95 , "Apr 23, 2021", 20M
MYR RM0.95 , "Apr 23, 2021", 20M
MYR RM0.95 , "Apr 23, 2021", 20M
MYR RM0.90 , "Apr 30, 2021", 5.5M
MYR RM0.90 , "Apr 30, 2021", 5.5M
MYR RM0.85 , "May 7, 2021" , 36M
MYR RM0.85 , "May 7, 2021" , 36M
MYR RM0.80 , "May 12, 2021", 7.1M
MYR RM0.80 , "May 12, 2021", 7.1M
MYR RM0.80 , "May 12, 2021", 7.1M
MYR RM0.65 , "May 21, 2021", 19M
MYR RM0.65 , "May 21, 2021", 19M
MYR RM0.75 , "May 28, 2021", 21M
MYR RM0.75 , "May 28, 2021", 21M
MYR RM0.70 , "Jun 4, 2021" , 9.2M
MYR RM0.70 , "Jun 4, 2021" , 9.2M
MYR RM0.70 , "Jun 4, 2021" , 9.2M
MYR RM0.65 , "Jun 11, 2021", 7.1M
MYR RM0.65 , "Jun 11, 2021", 7.1M
MYR RM0.85 , "Jun 18, 2021", 34M
MYR RM0.85 , "Jun 18, 2021", 34M
MYR RM0.80 , "Jun 25, 2021", 59M
MYR RM0.80 , "Jun 25, 2021", 59M
MYR RM0.80 , "Jun 25, 2021", 59M
MYR RM0.75 , "Jul 2, 2021" , 20M
MYR RM0.75 , "Jul 2, 2021" , 20M
MYR RM0.65 , "Jul 9, 2021" , 24M
MYR RM0.65 , "Jul 9, 2021" , 24M
MYR RM0.80 , "Jul 16, 2021", 22M
MYR RM0.80 , "Jul 16, 2021", 22M
MYR RM0.80 , "Jul 16, 2021", 22M
MYR RM0.75 , "Jul 23, 2021", 11M
MYR RM0.75 , "Jul 23, 2021", 11M
MYR RM0.65 , "Jul 30, 2021", 8.1M
MYR RM0.65 , "Jul 30, 2021", 8.1M
MYR RM0.60 , "Aug 6, 2021" , 17M
MYR RM0.60 , "Aug 6, 2021" , 17M
MYR RM0.60 , "Aug 6, 2021" , 17M
MYR RM0.65 , "Aug 13, 2021", 4.1M
MYR RM0.65 , "Aug 13, 2021", 4.1M
MYR RM0.65 , "Aug 20, 2021", 3.3M
MYR RM0.65 , "Aug 20, 2021", 3.3M
MYR RM0.55 , "Aug 27, 2021", 41M
MYR RM0.55 , "Aug 27, 2021", 41M
MYR RM0.55 , "Aug 27, 2021", 41M
MYR RM0.65 , "Sep 3, 2021" , 14M
MYR RM0.65 , "Sep 3, 2021" , 14M
MYR RM0.70 , "Sep 10, 2021", 111M
MYR RM0.70 , "Sep 10, 2021", 111M
