price      , date          , volume
MYR RM4.32 , "Feb 11, 2021", 317K
MYR RM4.45 , "Feb 19, 2021", 1M
MYR RM4.45 , "Feb 19, 2021", 1M
MYR RM4.45 , "Feb 19, 2021", 1M
MYR RM4.30 , "Feb 26, 2021", 2.7M
MYR RM4.30 , "Feb 26, 2021", 2.7M
MYR RM3.96 , "Mar 5, 2021" , 931K
MYR RM3.96 , "Mar 5, 2021" , 931K
MYR RM3.96 , "Mar 5, 2021" , 931K
MYR RM3.68 , "Mar 12, 2021", 1.8M
MYR RM3.68 , "Mar 12, 2021", 1.8M
MYR RM3.63 , "Mar 26, 2021", 1.1M
MYR RM3.63 , "Mar 26, 2021", 1.1M
MYR RM4.08 , "Apr 2, 2021" , 1.7M
MYR RM4.08 , "Apr 2, 2021" , 1.7M
MYR RM4.08 , "Apr 2, 2021" , 1.7M
MYR RM4.00 , "Apr 9, 2021" , 562K
MYR RM4.00 , "Apr 9, 2021" , 562K
MYR RM3.96 , "Apr 16, 2021", 581K
MYR RM3.96 , "Apr 16, 2021", 581K
MYR RM4.02 , "Apr 23, 2021", 563K
MYR RM4.02 , "Apr 23, 2021", 563K
MYR RM4.02 , "Apr 23, 2021", 563K
MYR RM4.01 , "Apr 30, 2021", 756K
MYR RM4.01 , "Apr 30, 2021", 756K
MYR RM3.84 , "May 7, 2021" , 308K
MYR RM3.84 , "May 7, 2021" , 308K
MYR RM3.65 , "May 12, 2021", 422K
MYR RM3.65 , "May 12, 2021", 422K
MYR RM3.65 , "May 12, 2021", 422K
MYR RM3.70 , "May 21, 2021", 561K
MYR RM3.70 , "May 21, 2021", 561K
MYR RM3.83 , "May 28, 2021", 590K
MYR RM3.83 , "May 28, 2021", 590K
MYR RM3.84 , "Jun 4, 2021" , 253K
MYR RM3.84 , "Jun 4, 2021" , 253K
MYR RM3.84 , "Jun 4, 2021" , 253K
MYR RM3.80 , "Jun 11, 2021", 80K
MYR RM3.80 , "Jun 11, 2021", 80K
MYR RM3.63 , "Jun 18, 2021", 883K
MYR RM3.63 , "Jun 18, 2021", 883K
MYR RM3.74 , "Jun 25, 2021", 277K
MYR RM3.74 , "Jun 25, 2021", 277K
MYR RM3.74 , "Jun 25, 2021", 277K
MYR RM3.74 , "Jul 2, 2021" , 116K
MYR RM3.74 , "Jul 2, 2021" , 116K
MYR RM3.87 , "Jul 9, 2021" , 273K
MYR RM3.87 , "Jul 9, 2021" , 273K
MYR RM3.99 , "Jul 16, 2021", 888K
MYR RM3.99 , "Jul 16, 2021", 888K
MYR RM3.99 , "Jul 16, 2021", 888K
MYR RM4.86 , "Jul 23, 2021", 3M
MYR RM4.86 , "Jul 23, 2021", 3M
MYR RM4.72 , "Jul 30, 2021", 2M
MYR RM4.72 , "Jul 30, 2021", 2M
MYR RM4.92 , "Aug 6, 2021" , 2.5M
MYR RM4.92 , "Aug 6, 2021" , 2.5M
MYR RM4.92 , "Aug 6, 2021" , 2.5M
MYR RM4.80 , "Aug 13, 2021", 1.2M
MYR RM4.80 , "Aug 13, 2021", 1.2M
MYR RM4.75 , "Aug 20, 2021", 922K
MYR RM4.75 , "Aug 20, 2021", 922K
MYR RM4.65 , "Aug 27, 2021", 1.6M
MYR RM4.65 , "Aug 27, 2021", 1.6M
MYR RM4.65 , "Aug 27, 2021", 1.6M
MYR RM4.64 , "Sep 3, 2021" , 1.4M
MYR RM4.64 , "Sep 3, 2021" , 1.4M
MYR RM4.81 , "Sep 10, 2021", 961K
MYR RM4.81 , "Sep 10, 2021", 961K
MYR RM4.78 , "Sep 17, 2021", 562K
MYR RM4.78 , "Sep 17, 2021", 562K
MYR RM4.78 , "Sep 17, 2021", 562K
MYR RM5.13 , "Sep 24, 2021", 2.3M
MYR RM5.13 , "Sep 24, 2021", 2.3M
MYR RM4.99 , "Oct 1, 2021" , 1.6M
MYR RM4.99 , "Oct 1, 2021" , 1.6M
MYR RM4.99 , "Oct 1, 2021" , 1.6M
MYR RM4.88 , "Oct 8, 2021" , 1.4M
MYR RM4.88 , "Oct 8, 2021" , 1.4M
MYR RM4.91 , "Oct 15, 2021", 608K
MYR RM4.91 , "Oct 15, 2021", 608K
MYR RM4.93 , "Oct 22, 2021", 1.3M
MYR RM4.93 , "Oct 22, 2021", 1.3M
MYR RM4.93 , "Oct 22, 2021", 1.3M
MYR RM4.92 , "Oct 29, 2021", 886K
MYR RM4.92 , "Oct 29, 2021", 886K
MYR RM5.00 , "Nov 5, 2021" , 749K
MYR RM5.00 , "Nov 5, 2021" , 749K
MYR RM5.01 , "Nov 12, 2021", 587K
MYR RM5.01 , "Nov 12, 2021", 587K
MYR RM5.01 , "Nov 12, 2021", 587K
MYR RM4.95 , "Nov 19, 2021", 570K
MYR RM4.95 , "Nov 19, 2021", 570K
MYR RM5.13 , "Nov 26, 2021", 698K
MYR RM5.13 , "Nov 26, 2021", 698K
MYR RM5.52 , "Dec 2, 2021" , 861K
MYR RM5.52 , "Dec 2, 2021" , 861K
MYR RM5.52 , "Dec 2, 2021" , 861K
MYR RM5.00 , "Dec 10, 2021", 510K
MYR RM5.00 , "Dec 10, 2021", 510K
MYR RM4.96 , "Dec 17, 2021", 344K
MYR RM4.96 , "Dec 17, 2021", 344K
MYR RM5.00 , "Dec 24, 2021", 607K
MYR RM5.00 , "Dec 24, 2021", 607K
MYR RM5.00 , "Dec 24, 2021", 607K
MYR RM4.98 , "Dec 31, 2021", 342K
MYR RM4.98 , "Dec 31, 2021", 342K
MYR RM4.92 , "Jan 7, 2022" , 405K
MYR RM4.92 , "Jan 7, 2022" , 405K
MYR RM4.25 , "Jan 14, 2022", 1.9M
MYR RM4.25 , "Jan 14, 2022", 1.9M
MYR RM4.25 , "Jan 14, 2022", 1.9M
MYR RM4.00 , "Jan 21, 2022", 2.4M
MYR RM4.00 , "Jan 21, 2022", 2.4M
MYR RM3.95 , "Jan 28, 2022", 4.5M
MYR RM3.95 , "Jan 28, 2022", 4.5M
MYR RM3.93 , "Feb 4, 2022" , 1.2M
MYR RM3.93 , "Feb 4, 2022" , 1.2M
MYR RM3.93 , "Feb 4, 2022" , 1.2M
MYR RM4.08 , "Feb 11, 2022", 2.1M
MYR RM4.08 , "Feb 11, 2022", 2.1M
MYR RM3.89 , "Feb 18, 2022", 5.9M
MYR RM3.89 , "Feb 18, 2022", 5.9M
MYR RM3.89 , "Feb 25, 2022", 5.5M
MYR RM3.89 , "Feb 25, 2022", 5.5M
MYR RM3.89 , "Feb 25, 2022", 5.5M
MYR RM3.63 , "Mar 4, 2022" , 3.6M
MYR RM3.63 , "Mar 4, 2022" , 3.6M
MYR RM3.36 , "Mar 11, 2022", 9.7M
MYR RM3.36 , "Mar 11, 2022", 9.7M
MYR RM3.63 , "Mar 18, 2022", 12M
MYR RM3.63 , "Mar 18, 2022", 12M
MYR RM3.63 , "Mar 18, 2022", 12M
MYR RM4.04 , "Mar 25, 2022", 7.2M
MYR RM4.04 , "Mar 25, 2022", 7.2M
MYR RM4.00 , "Apr 1, 2022" , 3.8M
MYR RM4.00 , "Apr 1, 2022" , 3.8M
MYR RM4.00 , "Apr 1, 2022" , 3.8M
MYR RM4.05 , "Apr 8, 2022" , 2.7M
MYR RM4.05 , "Apr 8, 2022" , 2.7M
MYR RM3.80 , "Apr 15, 2022", 3.7M
MYR RM3.80 , "Apr 15, 2022", 3.7M
MYR RM3.75 , "Apr 22, 2022", 982K
MYR RM3.75 , "Apr 22, 2022", 982K
MYR RM3.75 , "Apr 22, 2022", 982K
MYR RM3.80 , "Apr 29, 2022", 2.4M
MYR RM3.80 , "Apr 29, 2022", 2.4M
MYR RM3.55 , "May 6, 2022" , 944K
MYR RM3.55 , "May 6, 2022" , 944K
MYR RM3.56 , "May 13, 2022", 1.8M
MYR RM3.56 , "May 13, 2022", 1.8M
MYR RM3.56 , "May 13, 2022", 1.8M
MYR RM3.63 , "May 20, 2022", 808K
MYR RM3.63 , "May 20, 2022", 808K
MYR RM3.68 , "May 27, 2022", 1.2M
MYR RM3.68 , "May 27, 2022", 1.2M
MYR RM3.91 , "Jun 3, 2022" , 2.1M
MYR RM3.91 , "Jun 3, 2022" , 2.1M
MYR RM3.91 , "Jun 3, 2022" , 2.1M
MYR RM3.82 , "Jun 10, 2022", 787K
MYR RM3.82 , "Jun 10, 2022", 787K
MYR RM3.62 , "Jun 17, 2022", 1.6M
MYR RM3.62 , "Jun 17, 2022", 1.6M
MYR RM3.55 , "Jun 24, 2022", 1.8M
MYR RM3.55 , "Jun 24, 2022", 1.8M
MYR RM3.55 , "Jun 24, 2022", 1.8M
MYR RM3.55 , "Jul 1, 2022" , 924K
MYR RM3.55 , "Jul 1, 2022" , 924K
MYR RM3.40 , "Jul 8, 2022" , 1.8M
MYR RM3.40 , "Jul 8, 2022" , 1.8M
MYR RM3.34 , "Jul 15, 2022", 1.1M
MYR RM3.34 , "Jul 15, 2022", 1.1M
MYR RM3.34 , "Jul 15, 2022", 1.1M
MYR RM3.70 , "Jul 22, 2022", 1.3M
MYR RM3.70 , "Jul 22, 2022", 1.3M
MYR RM3.85 , "Jul 29, 2022", 2.8M
MYR RM3.85 , "Jul 29, 2022", 2.8M
MYR RM3.81 , "Aug 5, 2022" , 1.9M
MYR RM3.81 , "Aug 5, 2022" , 1.9M
MYR RM3.81 , "Aug 5, 2022" , 1.9M
MYR RM3.80 , "Aug 12, 2022", 1.6M
MYR RM3.80 , "Aug 12, 2022", 1.6M
MYR RM3.67 , "Aug 19, 2022", 699K
MYR RM3.67 , "Aug 19, 2022", 699K
MYR RM3.68 , "Aug 26, 2022", 552K
MYR RM3.68 , "Aug 26, 2022", 552K
MYR RM3.68 , "Aug 26, 2022", 552K
MYR RM3.64 , "Sep 2, 2022" , 666K
MYR RM3.64 , "Sep 2, 2022" , 666K
MYR RM3.65 , "Sep 9, 2022" , 1.2M
MYR RM3.65 , "Sep 9, 2022" , 1.2M
MYR RM3.80 , "Sep 15, 2022", 478K
MYR RM3.80 , "Sep 15, 2022", 478K
MYR RM3.80 , "Sep 15, 2022", 478K
MYR RM3.68 , "Sep 23, 2022", 1M
MYR RM3.68 , "Sep 23, 2022", 1M
MYR RM3.62 , "Sep 30, 2022", 898K
MYR RM3.62 , "Sep 30, 2022", 898K
MYR RM3.69 , "Oct 7, 2022" , 1.6M
MYR RM3.69 , "Oct 7, 2022" , 1.6M
MYR RM3.69 , "Oct 7, 2022" , 1.6M
MYR RM3.48 , "Oct 14, 2022", 2.4M
MYR RM3.48 , "Oct 14, 2022", 2.4M
MYR RM3.50 , "Oct 21, 2022", 1.9M
MYR RM3.50 , "Oct 21, 2022", 1.9M
MYR RM3.50 , "Oct 21, 2022", 1.9M
MYR RM3.50 , "Oct 28, 2022", 1.4M
MYR RM3.50 , "Oct 28, 2022", 1.4M
MYR RM3.49 , "Nov 4, 2022" , 1.8M
MYR RM3.49 , "Nov 4, 2022" , 1.8M
MYR RM3.57 , "Nov 11, 2022", 1.1M
MYR RM3.57 , "Nov 11, 2022", 1.1M
MYR RM3.57 , "Nov 11, 2022", 1.1M
MYR RM3.49 , "Nov 17, 2022", 1.1M
MYR RM3.49 , "Nov 17, 2022", 1.1M
MYR RM3.65 , "Nov 25, 2022", 355K
MYR RM3.65 , "Nov 25, 2022", 355K
MYR RM3.89 , "Dec 2, 2022" , 2.6M
MYR RM3.89 , "Dec 2, 2022" , 2.6M
MYR RM3.89 , "Dec 2, 2022" , 2.6M
MYR RM3.97 , "Dec 9, 2022" , 838K
MYR RM3.97 , "Dec 9, 2022" , 838K
MYR RM3.90 , "Dec 16, 2022", 881K
MYR RM3.90 , "Dec 16, 2022", 881K
MYR RM3.83 , "Dec 23, 2022", 1.3M
MYR RM3.83 , "Dec 23, 2022", 1.3M
MYR RM3.83 , "Dec 23, 2022", 1.3M
MYR RM3.83 , "Dec 30, 2022", 423K
MYR RM3.83 , "Dec 30, 2022", 423K
MYR RM3.80 , "Jan 6, 2023" , 1.9M
MYR RM3.80 , "Jan 6, 2023" , 1.9M
MYR RM4.00 , "Jan 13, 2023", 2.6M
MYR RM4.00 , "Jan 13, 2023", 2.6M
MYR RM4.00 , "Jan 13, 2023", 2.6M
MYR RM3.90 , "Jan 20, 2023", 1.3M
MYR RM3.90 , "Jan 20, 2023", 1.3M
MYR RM4.10 , "Jan 27, 2023", 660K
MYR RM4.10 , "Jan 27, 2023", 660K
MYR RM4.13 , "Feb 3, 2023" , 2.5M
MYR RM4.13 , "Feb 3, 2023" , 2.5M
MYR RM4.13 , "Feb 3, 2023" , 2.5M
MYR RM4.10 , "Feb 10, 2023", 1.1M
MYR RM4.10 , "Feb 10, 2023", 1.1M
MYR RM3.89 , "Feb 17, 2023", 1.8M
MYR RM3.89 , "Feb 17, 2023", 1.8M
MYR RM3.99 , "Feb 24, 2023", 665K
MYR RM3.99 , "Feb 24, 2023", 665K
MYR RM3.99 , "Feb 24, 2023", 665K
MYR RM4.00 , "Mar 3, 2023" , 714K
MYR RM4.00 , "Mar 3, 2023" , 714K
MYR RM3.83 , "Mar 10, 2023", 2.2M
MYR RM3.83 , "Mar 10, 2023", 2.2M
MYR RM3.78 , "Mar 17, 2023", 2.6M
MYR RM3.78 , "Mar 17, 2023", 2.6M
MYR RM3.78 , "Mar 17, 2023", 2.6M
MYR RM3.93 , "Mar 24, 2023", 907K
MYR RM3.93 , "Mar 24, 2023", 907K
MYR RM3.99 , "Mar 31, 2023", 1M
MYR RM3.99 , "Mar 31, 2023", 1M
MYR RM3.91 , "Apr 7, 2023" , 435K
MYR RM3.91 , "Apr 7, 2023" , 435K
